sample,population,time,clone,sample_type,mean_coverage_chromosome,mean_coverage_plasmid,failed_low_coverage
L0_P0_Ancestor_A,0,0,A,clone,4.041323,5.282791,TRUE
L0_P0_Ancestor_B,0,0,B,clone,443.905,721.7093,FALSE
L0_P0_Ancestor_C,0,0,C,clone,61.55227,86.0552,FALSE
L1_P2_GA,1,2,,population,131.6504,424.571,FALSE
L1_P4_GA,1,4,,population,220.0876,275.3801,FALSE
L1_P6_GA,1,6,,population,380.6584,365.3264,FALSE
L1_P7_GA,1,7,,population,463.5642,429.5921,FALSE
L1_P8_GA,1,8,,population,395.8693,367.0388,FALSE
L1_P10_GA,1,10,,population,200.9319,255.6726,FALSE
L1_P12_GA,1,12,,population,147.5478,202.3298,FALSE
L1_P14_GA,1,14,,population,135.3718,176.5751,FALSE
L1_P16_GA,1,16,,population,98.12228,70.17923,FALSE
L1_P18_GA,1,18,,population,94.22944,76.5197,FALSE
L1_P20_GA,1,20,,population,215.2867,817.5766,FALSE
L1_P20_GA_1-A,1,20,A,clone,89.71416,155.1423,FALSE
L1_P20_GA_1-B,1,20,B,clone,39.21228,58.60674,FALSE
L1_P20_GA_1-C,1,20,C,clone,82.40136,176.6478,FALSE
L1_P20_GA_1-D,1,20,D,clone,112.8962,190.1157,FALSE
L1_P20_GA_1-E,1,20,E,clone,99.90063,163.7457,FALSE
L1_P20_GA_1-F,1,20,F,clone,105.9241,202.7824,FALSE
L1_P20_GA_1-G,1,20,G,clone,75.41792,113.841,FALSE
L1_P20_GA_1-H,1,20,H,clone,40.22954,72.10245,FALSE
L1_P20_GA_1-I,1,20,I,clone,56.04239,88.19042,FALSE
L1_P20_GA_1-J,1,20,J,clone,30.71954,51.89703,FALSE
L2_P2_GP,2,2,,population,165.0905,239.6193,FALSE
L2_P4_GP,2,4,,population,217.6068,242.9005,FALSE
L2_P6_GP,2,6,,population,443.1898,846.7136,FALSE
L2_P7_GP,2,7,,population,404.4612,635.5944,FALSE
L2_P8_GP,2,8,,population,452.179,441.639,FALSE
L2_P10_GP,2,10,,population,181.9924,217.6753,FALSE
L2_P12_GP,2,12,,population,235.7614,304.2122,FALSE
L2_P14_GP,2,14,,population,132.128,226.9889,FALSE
L2_P16_GP,2,16,,population,201.1642,130.3286,FALSE
L2_P18_GP,2,18,,population,165.9187,245.8238,FALSE
L2_P20_GP,2,20,,population,66.79602,62.17524,FALSE
L2_P20_GP_2-A,2,20,A,clone,77.33062,167.981,FALSE
L2_P20_GP_2-B,2,20,B,clone,51.29272,99.16605,FALSE
